Title,Year,Ratings
"<h3 class=""ipc-title__text"">180. Million Dollar Baby</h3>","2004,2h 12m,PG-13,8.1, (,718K,),Rate",8.1
"<h3 class=""ipc-title__text"">181. Harry Potter and the Deathly Hallows: Part 2</h3>","2011,2h 10m,PG-13,8.1, (,940K,),Rate",8.1
"<h3 class=""ipc-title__text"">182. Children of Heaven</h3>","1997,1h 29m,PG,8.2, (,80K,),Rate",8.2
"<h3 class=""ipc-title__text"">183. 12 Years a Slave</h3>","2013,2h 14m,R,8.1, (,737K,),Rate",8.1
"<h3 class=""ipc-title__text"">184. Blade Runner</h3>","1982,1h 57m,R,8.1, (,817K,),Rate",8.1
"<h3 class=""ipc-title__text"">185. Before Sunrise</h3>","1995,1h 41m,R,8.1, (,336K,),Rate",8.1
"<h3 class=""ipc-title__text"">186. The Grand Budapest Hotel</h3>","2014,1h 39m,R,8.1, (,879K,),Rate",8.1
"<h3 class=""ipc-title__text"">187. Ben-Hur</h3>","1959,3h 32m,G,8.1, (,252K,),Rate",8.1
"<h3 class=""ipc-title__text"">188. Barry Lyndon</h3>","1975,3h 5m,PG,8.1, (,182K,),Rate",8.1
"<h3 class=""ipc-title__text"">189. Gone Girl</h3>","2014,2h 29m,R,8.1, (,1.1M,),Rate",8.1
"<h3 class=""ipc-title__text"">190. The Gold Rush</h3>","1925,1h 35m,Passed,8.1, (,118K,),Rate",8.1
"<h3 class=""ipc-title__text"">191. Hacksaw Ridge</h3>","2016,2h 19m,R,8.1, (,587K,),Rate",8.1
"<h3 class=""ipc-title__text"">192. In the Name of the Father</h3>","1993,2h 13m,R,8.1, (,186K,),Rate",8.1
"<h3 class=""ipc-title__text"">193. Memories of Murder</h3>","2003,2h 12m,Not Rated,8.1, (,213K,),Rate",8.1
"<h3 class=""ipc-title__text"">194. On the Waterfront</h3>","1954,1h 48m,Approved,8.1, (,164K,),Rate",8.1
"<h3 class=""ipc-title__text"">195. Dead Poets Society</h3>","1989,2h 8m,PG,8.1, (,539K,),Rate",8.1
"<h3 class=""ipc-title__text"">196. The General</h3>","1926,1h 18m,Passed,8.1, (,97K,),Rate",8.1
"<h3 class=""ipc-title__text"">197. The Deer Hunter</h3>","1978,3h 3m,R,8.1, (,360K,),Rate",8.1
"<h3 class=""ipc-title__text"">198. Wild Tales</h3>","2014,2h 2m,R,8.1, (,214K,),Rate",8.1
"<h3 class=""ipc-title__text"">199. Mad Max: Fury Road</h3>","2015,2h,R,8.1, (,1.1M,),Rate",8.1
